Unit ID,,Fuel type,,Country/Area,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
L100000305187,,oil,,Venezuela,9.3177000,-63.8413000,,,,1955,,,,,,,,,,,,,,,,
L100000302774,,oil and gas,,Colombia,6.8160000,-73.7860000,,,,1963,,,,,,,,,,,,,,,,
L100000320005,,gas,,Colombia,8.6580000,-75.3600000,,,,,,,,,,,,,,,,,,,,
L100000321407,,oil and gas,,United States,30.6546000,-96.4426000,,,,,,,,,,,,,,,,,,,,
L100000300006,,oil and gas,,Brazil,-10.6860000,-36.8890000,,,,1966,,,,,,,,,,,,,,,,
L100000300007,,oil and gas,,Brazil,-4.8990000,-36.2620000,,,,1975,,,,,,,,,,,,,,,,
L100000320322,,oil and gas,,Brazil,-10.9670000,-36.3012000,,,,2010,,,,,,,,,,,,,,,,
L100000320321,,oil and gas,,Brazil,-10.9670000,-36.3012000,,,,2010,,,,,,,,,,,,,,,,
L100001061740,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000310968,,oil and gas,,Nigeria,5.6040000,6.6070000,,,,1971,,,,,,,,,,,,,,,,
L100000311949,,oil and gas,,Iraq,32.4240000,45.7140000,,,,1979,,,,,,,,,,,,,,,,
L100000319744,,oil,,Syria,34.5400000,40.8437000,,,,,,,,,,,,,,,,,,,,
L100000313152,,oil and gas,,Senegal,16.1230000,-17.6290000,,,,2016,,,,,,,,,,,,,,,,
L100000317424,,gas,,Algeria,24.0000000,2.0000000,,,,1953,,,,,,,,,,,,,,,,
L100000320942,,oil and gas,,United States,66.6693000,-150.8304000,,,,2015,,,,,,,,,,,,,,,,
L100000312129,,oil,,Iran,31.3118000,48.8121000,,,,1953,,,,,,,,,,,,,,,,
L100000312143,,oil,,Iran,31.3118000,48.8121000,,,,1953,,,,,,,,,,,,,,,,
L100000319627,,oil,,Saudi Arabia,25.9492000,49.4238000,,,,1948,,,,,,,,,,,,,,,,
L100000312601,,oil and gas,,Algeria,27.6930000,8.0120000,,,,2009,,,,,,,,,,,,,,,,
L100000300479,,oil and gas,,Germany,48.2206670,10.8092112,,,,1976,,,,,,,,,,,,,,,,
L100000319638,,oil and gas,,Canada,56.9540000,-121.9440000,,,,,,,,,,,,,,,,,,,,
L100000321051,,gas,,Canada,57.0360000,-122.0360000,,,,,,,,,,,,,,,,,,,,
L100000311687,,oil and gas,,Canada,56.9540000,-121.9440000,,,,1959,,,,,,,,,,,,,,,,
L100000310970,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000310971,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000311950,,oil and gas,,Iraq,35.0190000,43.7440000,,,,,,,,,,,,,,,,,,,,
L100001056216,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000302776,,oil and gas,,Colombia,3.9540000,-73.7350000,,,,2015,,,,,,,,,,,,,,,,
L100000302777,,oil,,Colombia,3.9540000,-73.7350000,,,,2015,,,,,,,,,,,,,,,,
L100000320851,,oil and gas,,Mexico,19.5065000,-92.0692000,,,,,,,,,,,,,,,,,,,,
L100000302259,,oil and gas,,Mexico,19.3991000,-92.0532000,,,,1976,,,,,,,,,,,,,,,,
L100000319745,,oil,,Syria,34.4025000,40.7370000,,,,,,,,,,,,,,,,,,,,
L100000310973,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000302778,,oil,,Colombia,4.3470000,-72.7310000,,,,,,,,,,,,,,,,,,,,
L100000311951,,gas,,Iraq,34.1150000,41.1800000,,,,1992,,,,,,,,,,,,,,,,
L100000320979,,gas,,Iraq,34.1150000,41.1800000,,,,1992,,,,,,,,,,,,,,,,
L100000310975,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000310977,,oil and gas,,Nigeria,3.153126869970483,6.586114523540559,,,,2000,,,,,,,,,,,,,,,,
L100001061690,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000310978,,oil and gas,,Nigeria,,,,,,1967,,,,,,,,,,,,,,,,
L100000310979,,oil and gas,,Nigeria,,,,,,1972,,,,,,,,,,,,,,,,
L100000312689,,oil and gas,,Kazakhstan,46.5720000,65.3240000,,,,1988,,,,,,,,,,,,,,,,
L100000317109,,oil and gas,,Kazakhstan,46.2114000,52.7515000,,,,,,,,,,,,,,,,,,,,
L100000314164,,gas,,United States,32.3076000,-93.3437000,,,,1950,,,,,,,,,,,,,,,,
L100000317753,,gas,,United States,32.3075000,-93.4194000,,,,1950,,,,,,,,,,,,,,,,
L100000310981,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000302698,,oil and gas,,Mexico,19.4550000,-92.7906000,,,,1999,,,,,,,,,,,,,,,,
L100000313166,,oil,,Canada,49.2970000,-102.1720000,,,,1983,,,,,,,,,,,,,,,,
L100000313167,,oil,,Canada,49.2300000,-102.2290000,,,,1956,,,,,,,,,,,,,,,,
L100000319575,,oil,,Cuba,22.9710000,-81.2778000,,,,2022,,,,,,,,,,,,,,,,
L100000313168,,oil,,Canada,49.2910000,-102.3710000,,,,1982,,,,,,,,,,,,,,,,
L100000311682,,oil,,Egypt,,,,,,1966,,,,,,,,,,,,,,,,
L100000321068,,oil and gas,,Uzbekistan,38.8214000,64.9982000,,,,1977,,,,,,,,,,,,,,,,
L100000300009,,oil and gas,,Brazil,-22.1110000,-39.7460000,,,,1986,,,,,,,,,,,,,,,,
L100000300008,,oil and gas,,Brazil,-22.1310000,-39.9610000,,,,1984,,,,,,,,,,,,,,,,
L100000301867,,oil and gas,,United Kingdom,58.0355000,1.1085000,,,,1984,,,,,,,,,,,,,,,,
L100000312458,,oil and gas,,Qatar,25.1260000,52.6091000,,,,1965,,,,,,,,,,,,,,,,
L100000301868,,oil and gas,,United Kingdom,51.2082000,-0.5206000,,,,1987,,,,,,,,,,,,,,,,
L100000312263,,oil and gas,,United Arab Emirates,24.2479000,54.1723000,,,,1983,,,,,,,,,,,,,,,,
L100000310595,,gas,,Australia,,,,,,,,,,,,,,,,,,,,,,
L100000301869,,oil and gas,,United Kingdom,58.0996000,0.6994000,,,,1975,,,,,,,,,,,,,,,,
L100000308191,,oil and gas,,Canada,50.2680000,-111.4640000,,,,1904,,,,,,,,,,,,,,,,
L100000301435,,gas,,Poland,51.5962000,16.4748000,,,,,,,,,,,,,,,,,,,,
L100000323009,,oil and gas,,United States,47.8925000,-103.5645000,,,,,,,,,,,,,,,,,,,,
L100000308192,,oil and gas,,Canada,53.8280000,-113.9860000,,,,1949,,,,,,,,,,,,,,,,
L100000321097,,oil,,Russia,59.8339000,68.7987000,,,,2017,,,,,,,,,,,,,,,,
L100000300481,,gas,,Germany,52.1359000,9.7440000,,,,1972,,,,,,,,,,,,,,,,
L100000310596,,gas,,Australia,,,,,,,,,,,,,,,,,,,,,,
L100000322998,,oil and gas,,United States,48.2560000,-102.5686000,,,,,,,,,,,,,,,,,,,,
L100000323033,,oil and gas,,United States,48.2719000,-102.6317000,,,,,,,,,,,,,,,,,,,,
L100000323136,,oil and gas,,United States,48.3189000,-102.5733000,,,,,,,,,,,,,,,,,,,,
L100000311952,,oil and gas,,Iraq,31.7300000,45.5660000,,,,1984,,,,,,,,,,,,,,,,
L100000300623,,oil and gas,,Hungary,46.3333000,20.2500000,,,,1965,,,,,,,,,,,,,,,,
L100000312691,,oil and gas,,Kazakhstan,48.3730000,58.0140000,,,,1987,,,,,,,,,,,,,,,,
L100000304716,,oil and gas,,Ecuador,,,,,,,,,,,,,,,,,,,,,,
L100000313169,,oil,,Canada,49.4400000,-101.8370000,,,,1954,,,,,,,,,,,,,,,,
